Image,Brightness,Contrast,Blurriness,Noise
1,0.36894759,48.96257092,21.46299855,0.655385963
2,0.471175929,59.05445856,25.67557333,0.618911227
3,0.523384242,61.81669761,25.27935199,0.599518994
4,0.577307055,61.50717393,25.73619615,0.603706804
5,0.65703925,54.48478444,21.07773259,0.592611456
6,0.531944845,60.2614807,25.67292833,0.412461387
7,0.527296961,61.02571115,26.01725917,0.562472935
8,0.523384242,61.81669761,25.27935199,0.599518994
9,0.522341778,61.91139115,26.56020848,0.611305817
10,0.514511918,62.40309996,26.40612698,0.66487052
11,0.523384242,61.81669761,25.27935199,0.523384242
12,0.536446249,55.82035776,1.094987782,0.590537932
13,0.539717763,54.19278728,0.961358159,0.586601582
14,0.541809459,53.12672098,0.885669603,0.584417009
15,0.543377191,52.31332227,0.832174368,0.582523509
16,0.523384242,61.81669761,25.27935199,0.599518994
17,0.518377645,59.71026071,22560.1544,0.837987404
18,0.513281095,57.3373809,38457.40566,0.867312
19,0.508164955,54.8317199,48089.18635,0.896425898
20,0.503083105,52.17663366,51589.46679,0.925571536
